# Euromilhões data from each draw (top 3 prize count) - All participating countries
# Scraped from draw 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first draw, 373.0 (Oct/2004), and the draw ID 12994.0 (Oct/2023), over 1600 draws happened
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-05 19:55:18 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw,date,wins
373.0,2004-10-08,2
374.0,2004-10-15,4
375.0,2004-10-22,27
376.0,2004-10-29,8
377.0,2004-11-05,2
378.0,2004-11-12,10
379.0,2004-11-19,3
380.0,2004-11-26,14
381.0,2004-12-03,8
382.0,2004-12-10,10
383.0,2004-12-17,9
473.0,2004-12-24,6
474.0,2004-12-31,16
475.0,2005-01-07,6
515.0,2005-01-14,19
516.0,2005-01-21,35
517.0,2005-01-28,9
518.0,2005-02-04,8
519.0,2005-02-11,16
520.0,2005-02-18,4
521.0,2005-02-25,10
522.0,2005-03-04,5
523.0,2005-03-11,11
524.0,2005-03-18,7
525.0,2005-03-25,5
526.0,2005-04-01,4
527.0,2005-04-08,21
528.0,2005-04-15,6
529.0,2005-04-22,53
530.0,2005-04-29,3
531.0,2005-05-06,12
532.0,2005-05-13,10
533.0,2005-05-20,14
534.0,2005-05-27,9
535.0,2005-06-03,15
536.0,2005-06-10,9
537.0,2005-06-17,28
538.0,2005-06-24,14
539.0,2005-07-01,13
540.0,2005-07-08,23
541.0,2005-07-15,28
542.0,2005-07-22,20
543.0,2005-07-29,26
544.0,2005-08-05,23
545.0,2005-08-12,13
546.0,2005-08-19,13
547.0,2005-08-26,11
548.0,2005-09-02,9
549.0,2005-09-09,18
550.0,2005-09-16,18
551.0,2005-09-23,5
552.0,2005-09-30,11
553.0,2005-10-07,14
554.0,2005-10-14,19
555.0,2005-10-21,11
556.0,2005-10-28,9
557.0,2005-11-04,10
558.0,2005-11-11,10
559.0,2005-11-18,9
560.0,2005-11-25,15
561.0,2005-12-02,14
562.0,2005-12-09,12
563.0,2005-12-16,19
564.0,2005-12-23,11
565.0,2005-12-30,18
2342.0,2006-01-06,51
2343.0,2006-01-13,40
2344.0,2006-01-20,41
2345.0,2006-01-27,38
2346.0,2006-02-03,116
2347.0,2006-02-10,16
2348.0,2006-02-17,20
2349.0,2006-02-24,22
2350.0,2006-03-03,20
2351.0,2006-03-10,19
2352.0,2006-03-17,11
2353.0,2006-03-24,16
2354.0,2006-03-31,17
2355.0,2006-04-07,17
2356.0,2006-04-14,6
2357.0,2006-04-21,12
2358.0,2006-04-28,48
2359.0,2006-05-05,8
2360.0,2006-05-12,28
2361.0,2006-05-19,6
2362.0,2006-05-26,28
2363.0,2006-06-02,12
2364.0,2006-06-09,17
2365.0,2006-06-16,24
2366.0,2006-06-23,15
2367.0,2006-06-30,10
2368.0,2006-07-07,24
2369.0,2006-07-14,8
2370.0,2006-07-21,14
2371.0,2006-07-28,15
2372.0,2006-08-04,7
2373.0,2006-08-11,7
2374.0,2006-08-18,13
2375.0,2006-08-25,15
2376.0,2006-09-01,19
2377.0,2006-09-08,9
2378.0,2006-09-15,15
2379.0,2006-09-22,8
2380.0,2006-09-29,41
2381.0,2006-10-06,43
2382.0,2006-10-13,13
2383.0,2006-10-20,24
2384.0,2006-10-27,30
2385.0,2006-11-03,27
2386.0,2006-11-10,41
2387.0,2006-11-17,49
2388.0,2006-11-24,36
2389.0,2006-12-01,14
2390.0,2006-12-08,6
2391.0,2006-12-15,24
4672.0,2006-12-22,15
4673.0,2006-12-29,16
4678.0,2007-01-05,20
4682.0,2007-01-12,24
4683.0,2007-01-19,40
4684.0,2007-01-26,19
4685.0,2007-02-02,24
4686.0,2007-02-09,51
4687.0,2007-02-16,12
4688.0,2007-02-23,28
4689.0,2007-03-02,28
4690.0,2007-03-09,10
4691.0,2007-03-16,10
4692.0,2007-03-23,17
4693.0,2007-03-30,11
4694.0,2007-04-06,12
4695.0,2007-04-13,17
4696.0,2007-04-20,5
4697.0,2007-04-27,63
4698.0,2007-05-04,12
4699.0,2007-05-11,22
4700.0,2007-05-18,9
4701.0,2007-05-25,22
4702.0,2007-06-01,13
4703.0,2007-06-08,16
4704.0,2007-06-15,30
4705.0,2007-06-22,16
4706.0,2007-06-29,31
4873.0,2007-07-06,26
4877.0,2007-07-13,22
4878.0,2007-07-20,15
4879.0,2007-07-27,9
4880.0,2007-08-03,13
4881.0,2007-08-10,19
4882.0,2007-08-17,9
4883.0,2007-08-24,10
4884.0,2007-08-31,11
4885.0,2007-09-07,13
4886.0,2007-09-14,14
4887.0,2007-09-21,16
4888.0,2007-09-28,31
4889.0,2007-10-05,44
4890.0,2007-10-12,13
4891.0,2007-10-19,15
4892.0,2007-10-26,11
4893.0,2007-11-02,24
4894.0,2007-11-09,27
4895.0,2007-11-16,20
4896.0,2007-11-23,13
4897.0,2007-11-30,9
4898.0,2007-12-07,5
4899.0,2007-12-14,5
4900.0,2007-12-21,21
4911.0,2007-12-28,8
5179.0,2008-01-04,8
5180.0,2008-01-11,11
5181.0,2008-01-18,23
5182.0,2008-01-25,46
5183.0,2008-02-01,15
5184.0,2008-02-08,48
5185.0,2008-02-15,11
5186.0,2008-02-22,15
5187.0,2008-02-29,7
5188.0,2008-03-07,18
5189.0,2008-03-14,18
5190.0,2008-03-21,20
5191.0,2008-03-28,26
5192.0,2008-04-04,17
5193.0,2008-04-11,23
5194.0,2008-04-18,33
5195.0,2008-04-25,13
5196.0,2008-05-02,12
5197.0,2008-05-09,13
5198.0,2008-05-16,25
5199.0,2008-05-23,64
5200.0,2008-05-30,19
5201.0,2008-06-06,19
5202.0,2008-06-13,15
5203.0,2008-06-20,8
5204.0,2008-06-27,14
5444.0,2008-07-04,12
5445.0,2008-07-11,28
5446.0,2008-07-18,13
5447.0,2008-07-25,27
5448.0,2008-08-01,35
5449.0,2008-08-08,20
5450.0,2008-08-15,12
5451.0,2008-08-22,21
5452.0,2008-08-29,29
5453.0,2008-09-05,32
5454.0,2008-09-12,21
5455.0,2008-09-19,17
5456.0,2008-09-26,42
5457.0,2008-10-03,23
5458.0,2008-10-10,15
5459.0,2008-10-17,11
5460.0,2008-10-24,8
5461.0,2008-10-31,23
5462.0,2008-11-07,25
5463.0,2008-11-14,33
5464.0,2008-11-21,24
5465.0,2008-11-28,25
5466.0,2008-12-05,31
5467.0,2008-12-12,15
5468.0,2008-12-19,11
5469.0,2008-12-26,8
5694.0,2009-01-02,9
5695.0,2009-01-09,28
5696.0,2009-01-16,14
5697.0,2009-01-23,8
5698.0,2009-01-30,12
5699.0,2009-02-06,64
