# Euromilhões data from each draw (top 3 prize count) - Bids per draw in PT
# Scraped from file 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first file, 373.0 (Oct/2004), and 12994.0 (Oct/2023), over 1600+ draws happened
# Attention to files as 4630.0 (draw 2004/34), added after draw 373.0 (2004/35) and 2391.0 (2006/50)
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-15 16:06:45 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw_seq,draw_date,wins,bids
2004.035,2004-10-08,0,3223623
2004.036,2004-10-15,0,4349612
2004.037,2004-10-22,13,5885341
2004.038,2004-10-29,0,4738024
2004.039,2004-11-05,0,4736931
2004.040,2004-11-12,1,5482590
2004.041,2004-11-19,0,6595521
2004.042,2004-11-26,3,7845294
2004.043,2004-12-03,2,6265895
2004.044,2004-12-10,3,6506659
2004.045,2004-12-17,0,6675967
2004.046,2004-12-24,1,6228816
2004.047,2004-12-31,3,6222080
2005.001,2005-01-07,1,5710588
2005.002,2005-01-14,3,6664625
2005.003,2005-01-21,8,5530689
2005.004,2005-01-28,1,5630298
2005.005,2005-02-04,1,6310604
2005.006,2005-02-11,2,6958037
2005.007,2005-02-18,1,5526018
2005.008,2005-02-25,2,5644738
2005.009,2005-03-04,1,6637079
2005.010,2005-03-11,0,7215019
2005.011,2005-03-18,4,7617976
2005.012,2005-03-25,1,8780807
2005.013,2005-04-01,1,10705770
2005.014,2005-04-08,4,12326154
2005.015,2005-04-15,1,7301777
2005.016,2005-04-22,41,7849363
2005.017,2005-04-29,1,6795180
2005.018,2005-05-06,2,7337679
2005.019,2005-05-13,2,7870586
2005.020,2005-05-20,1,8201345
2005.021,2005-05-27,5,6490924
2005.022,2005-06-03,5,7274004
2005.023,2005-06-10,1,6954189
2005.024,2005-06-17,8,7685811
2005.025,2005-06-24,3,8659243
2005.026,2005-07-01,3,9847143
2005.027,2005-07-08,7,12249639
2005.028,2005-07-15,5,15004420
2005.029,2005-07-22,2,18283655
2005.030,2005-07-29,5,21913577
2005.031,2005-08-05,5,9525474
2005.032,2005-08-12,4,9809856
2005.033,2005-08-19,2,9706723
2005.034,2005-08-26,1,9747097
2005.035,2005-09-02,0,10198778
2005.036,2005-09-09,1,10240762
2005.037,2005-09-16,4,10606114
2005.038,2005-09-23,1,8185242
2005.039,2005-09-30,3,8436698
2005.040,2005-10-07,4,7800458
2005.041,2005-10-14,2,7933542
2005.042,2005-10-21,1,7679984
2005.043,2005-10-28,1,7877361
2005.044,2005-11-04,4,8002518
2005.045,2005-11-11,1,8498847
2005.046,2005-11-18,3,7667762
2005.047,2005-11-25,4,7846066
2005.048,2005-12-02,4,8494382
2005.049,2005-12-09,1,8808087
2005.050,2005-12-16,5,9286250
2005.051,2005-12-23,1,10998805
2005.052,2005-12-30,4,12656905
2006.001,2006-01-06,14,13060285
2006.002,2006-01-13,7,16404881
2006.003,2006-01-20,10,18411745
2006.004,2006-01-27,3,22785903
2006.005,2006-02-03,38,26933597
2006.006,2006-02-10,2,12255887
2006.007,2006-02-17,5,11315563
2006.008,2006-02-24,4,10163242
2006.009,2006-03-03,4,10007346
2006.010,2006-03-10,5,10259311
2006.011,2006-03-17,3,10861091
2006.012,2006-03-24,2,10895134
2006.013,2006-03-31,2,11161949
2006.014,2006-04-07,5,9034505
2006.015,2006-04-14,3,8799037
2006.016,2006-04-21,4,8324963
2006.017,2006-04-28,21,8384150
2006.018,2006-05-05,1,8115628
2006.019,2006-05-12,13,8670704
2006.020,2006-05-19,1,7964885
2006.021,2006-05-26,14,7689864
2006.022,2006-06-02,3,7819584
2006.023,2006-06-09,7,8372723
2006.024,2006-06-16,2,7921396
2006.025,2006-06-23,7,8948847
2006.026,2006-06-30,3,9155395
2006.027,2006-07-07,1,9747764
2006.028,2006-07-14,5,7796043
2006.029,2006-07-21,5,7999763
2006.030,2006-07-28,0,7703891
2006.031,2006-08-04,1,7936347
2006.032,2006-08-11,1,8051923
2006.033,2006-08-18,1,8425656
2006.034,2006-08-25,0,8792273
2006.035,2006-09-01,5,7781278
2006.036,2006-09-08,1,7931458
2006.037,2006-09-15,7,8341236
2006.038,2006-09-22,1,8592751
2006.039,2006-09-29,6,9046860
2006.040,2006-10-06,6,9918606
2006.041,2006-10-13,1,12683778
2006.042,2006-10-20,3,14027202
2006.043,2006-10-27,7,16118477
2006.044,2006-11-03,1,17547818
2006.045,2006-11-10,5,19921851
2006.046,2006-11-17,4,23258105
2006.047,2006-11-24,11,10837139
2006.048,2006-12-01,1,10041635
2006.049,2006-12-08,1,9836842
2006.050,2006-12-15,5,10387919
2004.001,2004-02-13,None,None
2004.002,2004-02-20,None,None
2004.003,2004-02-27,None,None
2004.004,2004-03-05,None,None
2004.005,2004-03-12,None,None
2004.006,2004-03-19,None,None
2004.007,2004-03-26,None,None
2004.008,2004-04-02,None,None
2004.009,2004-04-09,None,None
2004.010,2004-04-16,None,None
2004.011,2004-04-23,None,None
2004.012,2004-04-30,None,None
2004.013,2004-05-07,None,None
2004.014,2004-05-14,None,None
2004.015,2004-05-21,None,None
2004.016,2004-05-28,None,None
2004.017,2004-06-04,None,None
2004.018,2004-06-11,None,None
2004.019,2004-06-18,None,None
2004.020,2004-06-25,None,None
2004.021,2004-07-02,None,None
2004.022,2004-07-09,None,None
2004.023,2004-07-16,None,None
2004.024,2004-07-23,None,None
2004.025,2004-07-30,None,None
2004.026,2004-08-06,None,None
2004.027,2004-08-13,None,None
2004.028,2004-08-20,None,None
2004.029,2004-08-27,None,None
2004.030,2004-09-03,None,None
2004.031,2004-09-10,None,None
2004.032,2004-09-17,None,None
2004.033,2004-09-24,None,None
2004.034,2004-10-01,None,None
2006.051,2006-12-22,1,11425397
